url,route_family,current_title,gsc_impressions,gsc_clicks,gsc_ctr,gsc_avg_position,top_query,commercial_intent,capability_status,competing_buildogram_urls,tier,selected_for_sprint,notes
/,static,Contractor quotes hide the real costs,PENDING_GSC,PENDING_GSC,PENDING_GSC,PENDING_GSC,PENDING_GSC,NOT_YET_CLASSIFIED,NOT_ASSESSED,,PENDING_GSC,NO,
/about,static,About Buildogram | Engineer-Led Construction Intelligence — Chennai,PENDING_GSC,PENDING_GSC,PENDING_GSC,PENDING_GSC,PENDING_GSC,NOT_YET_CLASSIFIED,NOT_ASSESSED,,PENDING_GSC,NO,
/ai-boq-checker,static,AI BOQ Checker | Detect Missing Items & Inflated Rates | Buildogram Chennai,PENDING_GSC,PENDING_GSC,PENDING_GSC,PENDING_GSC,PENDING_GSC,NOT_YET_CLASSIFIED,NOT_ASSESSED,,PENDING_GSC,NO,
/ai-construction-cost-estimator,static,AI Construction Cost Estimator Chennai | Preliminary Cost Planning | Buildogram,PENDING_GSC,PENDING_GSC,PENDING_GSC,PENDING_GSC,PENDING_GSC,NOT_YET_CLASSIFIED,NOT_ASSESSED,,PENDING_GSC,NO,
/ai-contractor-quote-analyzer,static,AI Contractor Quote Analyzer | Detect Hidden Costs Before You Sign | Buildogram,PENDING_GSC,PENDING_GSC,PENDING_GSC,PENDING_GSC,PENDING_GSC,NOT_YET_CLASSIFIED,NOT_ASSESSED,,PENDING_GSC,NO,
/ai-floor-plan-creator,static,,PENDING_GSC,PENDING_GSC,PENDING_GSC,PENDING_GSC,PENDING_GSC,NOT_YET_CLASSIFIED,NOT_ASSESSED,,PENDING_GSC,NO,
/ai-floor-plan-creator/studio,static,,PENDING_GSC,PENDING_GSC,PENDING_GSC,PENDING_GSC,PENDING_GSC,NOT_YET_CLASSIFIED,NOT_ASSESSED,,PENDING_GSC,NO,
/ai-material-estimator,static,"AI Material Requirement Estimator Chennai | Cement, Steel, Bricks | Buildogram",PENDING_GSC,PENDING_GSC,PENDING_GSC,PENDING_GSC,PENDING_GSC,NOT_YET_CLASSIFIED,NOT_ASSESSED,,PENDING_GSC,NO,
/ai-pile-foundation-boq-checker,static,AI Pile Foundation BOQ Checker | AI-Engineered Piling BOQ Review | Buildogram,PENDING_GSC,PENDING_GSC,PENDING_GSC,PENDING_GSC,PENDING_GSC,NOT_YET_CLASSIFIED,NOT_ASSESSED,,PENDING_GSC,NO,
/ai-property-passport-assistant,static,AI Property Passport Assistant | AI-Engineered Documentation Checklist | Buildogram,PENDING_GSC,PENDING_GSC,PENDING_GSC,PENDING_GSC,PENDING_GSC,NOT_YET_CLASSIFIED,NOT_ASSESSED,,PENDING_GSC,NO,
/ai-soil-test-requirement-builder,static,AI Soil Test Requirement Builder | AI-Engineered Geotechnical Scope | Buildogram,PENDING_GSC,PENDING_GSC,PENDING_GSC,PENDING_GSC,PENDING_GSC,NOT_YET_CLASSIFIED,NOT_ASSESSED,,PENDING_GSC,NO,
/ai-structural-audit-intake,static,AI Structural Audit Intake | Prepare Your Building Audit Brief | Buildogram,PENDING_GSC,PENDING_GSC,PENDING_GSC,PENDING_GSC,PENDING_GSC,NOT_YET_CLASSIFIED,NOT_ASSESSED,,PENDING_GSC,NO,
/ai-survey-requirement-builder,static,AI Survey Requirement Builder | Know Your Land Survey Needs | Buildogram,PENDING_GSC,PENDING_GSC,PENDING_GSC,PENDING_GSC,PENDING_GSC,NOT_YET_CLASSIFIED,NOT_ASSESSED,,PENDING_GSC,NO,
/ai-tools,static,"AI-Engineered Construction Tools | BOQ Checker, Cost Estimator & More | Buildogram",PENDING_GSC,PENDING_GSC,PENDING_GSC,PENDING_GSC,PENDING_GSC,NOT_YET_CLASSIFIED,NOT_ASSESSED,,PENDING_GSC,NO,
/ai/boq-draft,static,,PENDING_GSC,PENDING_GSC,PENDING_GSC,PENDING_GSC,PENDING_GSC,NOT_YET_CLASSIFIED,NOT_ASSESSED,,PENDING_GSC,NO,
/ai/plan-review,static,,PENDING_GSC,PENDING_GSC,PENDING_GSC,PENDING_GSC,PENDING_GSC,NOT_YET_CLASSIFIED,NOT_ASSESSED,,PENDING_GSC,NO,
/ai/site-assistant,static,,PENDING_GSC,PENDING_GSC,PENDING_GSC,PENDING_GSC,PENDING_GSC,NOT_YET_CLASSIFIED,NOT_ASSESSED,,PENDING_GSC,NO,
/blog,static,Construction Blog | Expert Insights & Articles | Buildogram,PENDING_GSC,PENDING_GSC,PENDING_GSC,PENDING_GSC,PENDING_GSC,NOT_YET_CLASSIFIED,NOT_ASSESSED,,PENDING_GSC,NO,
/boq-audit,static,BOQ Review and Contractor Quote Audit | Buildogram,PENDING_GSC,PENDING_GSC,PENDING_GSC,PENDING_GSC,PENDING_GSC,NOT_YET_CLASSIFIED,NOT_ASSESSED,,PENDING_GSC,NO,
/boq-calculator,static,,PENDING_GSC,PENDING_GSC,PENDING_GSC,PENDING_GSC,PENDING_GSC,NOT_YET_CLASSIFIED,NOT_ASSESSED,,PENDING_GSC,NO,
/boq-review-chennai,static,BOQ Review & Audit in Chennai | Contractor Quote Check | Buildogram,PENDING_GSC,PENDING_GSC,PENDING_GSC,PENDING_GSC,PENDING_GSC,NOT_YET_CLASSIFIED,NOT_ASSESSED,,PENDING_GSC,NO,
/build,static,Construction Support and Contractor Marketplace | Buildogram,PENDING_GSC,PENDING_GSC,PENDING_GSC,PENDING_GSC,PENDING_GSC,NOT_YET_CLASSIFIED,NOT_ASSESSED,,PENDING_GSC,NO,
/build/commercial,static,,PENDING_GSC,PENDING_GSC,PENDING_GSC,PENDING_GSC,PENDING_GSC,NOT_YET_CLASSIFIED,NOT_ASSESSED,,PENDING_GSC,NO,
/build/home-construction,static,,PENDING_GSC,PENDING_GSC,PENDING_GSC,PENDING_GSC,PENDING_GSC,NOT_YET_CLASSIFIED,NOT_ASSESSED,,PENDING_GSC,NO,
/build/renovation,static,,PENDING_GSC,PENDING_GSC,PENDING_GSC,PENDING_GSC,PENDING_GSC,NOT_YET_CLASSIFIED,NOT_ASSESSED,,PENDING_GSC,NO,
/build/villa-construction,static,,PENDING_GSC,PENDING_GSC,PENDING_GSC,PENDING_GSC,PENDING_GSC,NOT_YET_CLASSIFIED,NOT_ASSESSED,,PENDING_GSC,NO,
/build/warranty,static,,PENDING_GSC,PENDING_GSC,PENDING_GSC,PENDING_GSC,PENDING_GSC,NOT_YET_CLASSIFIED,NOT_ASSESSED,,PENDING_GSC,NO,
/case-studies,static,Construction Case Studies in Chennai | Real Project Results | Buildogram,PENDING_GSC,PENDING_GSC,PENDING_GSC,PENDING_GSC,PENDING_GSC,NOT_YET_CLASSIFIED,NOT_ASSESSED,,PENDING_GSC,NO,
/compare,static,Compare | Buildogram,PENDING_GSC,PENDING_GSC,PENDING_GSC,PENDING_GSC,PENDING_GSC,NOT_YET_CLASSIFIED,NOT_ASSESSED,,PENDING_GSC,NO,
/compare/360-tour-vs-property-photos,compare,360° Property Tour vs. Standard Property Photos,PENDING_GSC,PENDING_GSC,PENDING_GSC,PENDING_GSC,PENDING_GSC,NOT_YET_CLASSIFIED,NOT_ASSESSED,,PENDING_GSC,NO,
/compare/boq-review-vs-contractor-estimate,compare,BOQ Review vs. Contractor Estimate — What\,PENDING_GSC,PENDING_GSC,PENDING_GSC,PENDING_GSC,PENDING_GSC,NOT_YET_CLASSIFIED,NOT_ASSESSED,,PENDING_GSC,NO,
/compare/buildogram-vs-contractor,compare,Buildogram vs. Hiring a Contractor Directly,PENDING_GSC,PENDING_GSC,PENDING_GSC,PENDING_GSC,PENDING_GSC,NOT_YET_CLASSIFIED,NOT_ASSESSED,,PENDING_GSC,NO,
/compare/pmc-vs-turnkey-construction,compare,PMC vs. End-to-End Construction — Which is Right for You?,PENDING_GSC,PENDING_GSC,PENDING_GSC,PENDING_GSC,PENDING_GSC,NOT_YET_CLASSIFIED,NOT_ASSESSED,,PENDING_GSC,NO,
/compare/property-passport-vs-document-folder,compare,Property Passport vs. Physical Document Folder,PENDING_GSC,PENDING_GSC,PENDING_GSC,PENDING_GSC,PENDING_GSC,NOT_YET_CLASSIFIED,NOT_ASSESSED,,PENDING_GSC,NO,
